Name_of_Saint,Memorial,gender,birth_year,place_of_birth,country,death_year,death_place,death_country,vocation,veneration_year,Venerated_by,beatified_year,beatified_by,canonized_year,canonized_by
Blessed Bonaventure Tornielli,31 March,male,1411,   ,Italy,1491,,,laity,,,1911,pope-saint-pius-x,,
Saint Gaspare Luigi Bertoni,12 June,male,1777,          ,Italy,1853,,Italy,priest,1966,pope-paul-vi,1975,pope-paul-vi,1989,pope-saint-john-paul-ii
Pope Saint Leo IX,19 April,male,1002,                 ,France,1054,,Italy,priest,,,,,1887,pope-blessed-victor-iii
Blessed Vilmos Apor,2 April,male,1892,             ,Hungary,1945,,Hungary,priest,1997,pope-saint-john-paul-ii,1997,pope-saint-john-paul-ii,,
Saint Apollonius of Brescia,7 July,male,,  ,,,"buried in the church of Saint Andrew at Brescia, Italy",Italy,priest,,,,,,
Saint Apollonius of Benevento,8 July,male,,,,326,,,priest,,,,,,
Saint John the Apostle,27 December,male,,                                                                                                                          ,,101,,Ephesus,laity,,,,,,
Saint Peter the Apostle,29 June,male,,                                                                                                                                                                                                                                             ,,64,,Italy,priest,,,,,,
Saint Apollinaris Syncletica,5 January,female,,  ,,,,,laity,,,,,,
Saint Apollonia of Alexandria,9 February,female,,                                                  ,,249,,Egypt,laity,,,,,,
Saint Apollonius of Braga,19 March,male,,,,,,,priest,,,,,,
Blessed Apollinaris of Posat,2 September,male,1739,,Switzerland,1792,,France,priest,1926,pope-pius-xi,1926,pope-pius-xi,,
Blessed Apolinar Franco,12 September,male,1575,     ,Spain,1622,,Japan,priest,,pope-blessed-pius-ix,1867,pope-blessed-pius-ix,,
Saint Apollinaris of Rheims,23 August,male,,,,290,,France,laity,,,,,,
Saint Apollinaris the Apologist,8 January,male,,                  ,,175,,,priest,,,,,,
Saint Apollinaris of Ravenna,20 July,male,,                                              ,,79,,Italy,priest,,,,,,
Saint Apollo of Heliopolis,25 January,male,, ,Egypt,395,,,laity,,,,,,
Saint Apodemus of Saragossa,16 April,unknown,, ,,304,,Spain,laity,,,,,,
Saint Aper of Sens,5 December,male,,France,,,,,priest,,,,,,
Saint Aprus of Toul,15 September,male,, ,Germany,507,,,priest,,,,,,
